source	source_frozen	path_only_substitutions	sha256_before	sha256_after	bytes_before	bytes_after
F4_seal_boundary_MAP.md	NO	2	7f6bac11f4f1e29e76a4aee0236bfbba4303aa86d9f233c2304c8da117a79b88	7ea689de0fa792b63fa9246865925240311e119106a61aa5e89b958eed93f064	21084	21130
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	NO	2	ad93180af41ff548f8ad87ef74f6b1386abe4319ac5992850b225550387c90c0	a94ca2c5235065795d7e898867344d837d0c6cfa58fae9f15f2a65aef25cc580	27235	27281
HANDOFF_ARCHIVE.md	NO	7	181f93e877f5629076dec9d6f61812f611f258818159c700c5af20017b7b6cfd	eb9799a81ef13c776c8647b336b794db79f84a4522b51baa9a866a5e4795ff67	130176	130337
NEGATIVES_REGISTRY.md	NO	8	fbcdd7b65a9751e4dde1201bc82991d2432d2d304cec0d29a6c62c1ff01aed23	ef4a283995c4090dca17be3ace899aaf015ef7a73741c4f7ae80c827595e25bb	163967	164151
P5e_proper_results.md	NO	2	05f274d757b3c2f7c0caccc330d611e022a57d8563bc98e4ebafaad928656e77	d9f0da3604c6c304d4537d940d69e49bf98b6271b8b2ac336db9ba9dbaa2b0a8	25780	25826
STATE.md	NO	6	3c7a4353a133871811c05c898dea8dabc915e76b2cd7db492c7dd320edd4e7c1	a964ec91c1afe5e5144cc2ed05d5ee49d0a6ab141551bb45e45b30720b09d066	158811	158949
STEP2_timelive_matter_MAP.md	NO	4	b3c8f3b7b59ba7bcd63d5bcd73bae5313f92be04c8ec158ace8497dc3287457b	44447c0269c1712f2afe47497c89c2b6e908ba15e1e28735463dd0254f1ab715	23367	23459
archive/COMPLETION_PROGRAM.md	NO	4	69bcf6d2f035e1c01e904ae58d27816e17e5507645b3bb44b80a4320711fe6bb	3b175890cb656060d1bc2f14901eaef65f024d88b370194a35e6c81ef0ac1d58	12955	13047
archive/LIVE_basin_D1_galerkin_arc_2026-06-30.md	NO	5	826d4883310f9c4bfd75958b89d57bef49491eff4e739a79a879c5f7b2e794c6	d37f9a85651b972deb096c7d3eea9bc96428223cc2578d85fb69c9a053e0c9c9	22414	22529
archive/M12_winding_bc_closure_results.md	NO	4	50217dfb6715fd5068cf8a954cf5a790ab6aa452173339957de0ebbeba3fa1c3	957097c9726317cb5807ba0fd2537aa4a619fcf8e6cb87de55822faab813b526	17618	17710
archive/P5c_regrade_derived_operator_results.md	NO	2	14e9c147195e608d2b8d6125ff515a9030d663411d23b0dbb636f2e027e30e2d	709aecb8cf7a1013cfb87481f445cf76cd7c825513afe03f57c1b43a42fecef9	17586	17632
archive/depth_selector_breather_results.md	NO	1	0cb8acbb7fb08acdbc7c2502a76573025209abcb1b42e932957fa8f75e8b91f6	9ec0f724679b33cd9013e4de4c59005ad888ec0e9dc8c456af64ca39c48e80dc	22044	22067
archive/native_s2_object_derived_operator_results.md	NO	1	0866994ba957ca3f7f79c6da02e2db8d37f21033af687d3b7e08653749ea4305	6e9defd8fdd0058721625c7b5706437a92611bf42912230da64090eeaf0672d0	5927	5950
archive/pre_native_coupled/coupled_timelive_VERIFIER.md	NO	2	1f8bb720385e5eae0a20661b306e314c254c53ff4f0fa642ba7d8e141af03a94	78a0e4b1997d2d558c04188e751f314231d5a546615ba234fbeac78fd8f262f0	9638	9684
