top_group	tracked_paths	has_audit_report
.claude	7	NO
Data	2	NO
F_evidence	18	NO
ROOT	1127	NO
angular_derivative_weight_selector_2026-07-20	34	YES
angular_toric_closure_selector_2026-07-19	19	YES
archive	345	NO
asymptotic_boundary_lineage_audit_2026-07-19	39	YES
bootstrap_csn_phi_angular_selector_2026-07-19	22	YES
bootstrap_variation_selector_2026-07-18	12	NO
boundary_audit_patch_2026-07-16	4	NO
boundary_bootstrap_representative_selector_audit_2026-07-19	27	YES
boundary_virial_evidence_2026-07-16	9	NO
c2_angular_reduction_selector_2026-07-20	34	YES
c2_coupled_reciprocal_twist_onshell_2026-07-20	23	YES
c2_failed_basin_homotopy_2026-07-20	45	YES
c2_finite_cell_boundary_variation_2026-07-20	36	YES
c2_intrinsic_angular_product_selector_2026-07-20	28	YES
c2_nonlinear_stationary_solution_space_2026-07-20	41	YES
c2_open_path_checkpoint_continuation_2026-07-20	39	YES
c2_reciprocal_transverse_twist_jacobi_2026-07-20	24	YES
c2_rigidity_three_route_zoomout_2026-07-20	36	YES
c2_time_fiber_shift_jacobi_2026-07-20	34	YES
c2_transverse_coframe_closure_2026-07-20	31	YES
c2_variable_lapse_selector_2026-07-20	34	YES
clock_curvature_selector_audit_2026-07-19	23	YES
complete_coframe_seal_involution_2026-07-20	37	YES
copresence_causal_accessibility_selector_2026-07-19	19	NO
copresence_gr_constraint_regrade_2026-07-19	21	NO
finite_cell_seal_boundary_phase_join_2026-07-20	37	YES
gr_constraint_paired_trial_2026-07-18	12	NO
grok	44	NO
h4_scripts	28	NO
hopfion_arc_scripts_2026-07-05	22	NO
hygiene_baseline_correction_2026-07-23	18	YES
infinite_c_reciprocity_adjudication_2026-07-18	17	NO
invariant_reciprocal_causal_flow_2026-07-18	16	NO
legacy	1090	NO
matter_bootstrap_dimensional_inventory_2026-07-20	33	YES
metric_cartan_holonomy_audit_2026-07-19	22	YES
native_action_arm_c_2026-07-18	22	NO
native_action_external_verifier_2026-07-18	6	NO
native_action_final_adjudication_2026-07-18	37	NO
native_action_stage1_2026-07-18	46	NO
native_action_stage2_2026-07-18	28	NO
native_action_sync_audit_2026-07-17	19	NO
native_boundary_generator_scale_audit_2026-07-19	33	YES
native_hopfion_topology_audit_2026-07-19	15	YES
null_section_hopfion_metric_audit_2026-07-19	17	YES
phaseG_evidence_2026-07-16	6	NO
projective_position_direction_magnitude_correction_2026-07-19	21	YES
projective_position_join_audit_2026-07-19	21	YES
projective_transport_section_selector_2026-07-19	19	YES
prototype	14	NO
raw_outputs	3	NO
reciprocal_c_clock_channel_correction_2026-07-19	21	YES
reciprocal_clock_optical_scale_selector_2026-07-19	16	NO
reciprocal_line_realization_selector_2026-07-18	15	NO
reciprocal_metric_null_line_selector_2026-07-19	19	YES
reciprocity_offshell_constraint_selector_2026-07-18	12	NO
reorganization_r0	16	NO
reorganization_r1_checkpoint	8	NO
reorganization_r1a	48	NO
reorganization_r1b	58	NO
reorganization_r1c	21	NO
reorganization_r1d	14	NO
reorganization_r1e	21	NO
reorganization_r1f	40	NO
reorganization_r1f_checkpoint	16	NO
reorganization_r1g	26	NO
reorganization_r1g_checkpoint	6	NO
reorganization_r1h	13	NO
rescued_workspaces	414	NO
research	25	NO
rung2_weld_postjuly_regrade_2026-07-19	22	YES
scale_breaking_closure_census_2026-07-20	30	YES
scratchpad	27	NO
tests	11	NO
transverse_reciprocal_realization_selector_2026-07-19	19	YES
udt_alpha_plane_selector_theorem_2026-07-28	8	YES
udt_amplitude_volume_metric_atlas_2026-07-21	33	YES
udt_angular_bulk_jacobi_selector_audit_2026-07-23	41	YES
udt_angular_generator_branch_census_2026-07-23	37	YES
udt_bank_simplex_interior_atlas_2026-07-23	43	YES
udt_bootstrap_clock_angular_closure_audit_2026-07-24	37	YES
udt_bootstrap_closure_ownership_audit_2026-08-01	40	YES
udt_bootstrap_substrate_micro_closure_audit_2026-07-23	27	YES
udt_bootstrap_to_local_response_map_audit_2026-07-25	37	YES
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26	37	YES
udt_canonical_geometry_evaluator_p01_2026-07-21	26	YES
udt_cap_gluing_selector_2026-07-28	6	YES
udt_center_free_observer_optical_correspondence_audit_2026-07-24	37	YES
udt_century_adjacent_mathematics_survey_2026-07-22	22	NO
udt_chart_coframe_invariance_atlas_2026-07-21	68	YES
udt_cleanroom_metric_reduction_readiness_audit_2026-07-27	42	YES
udt_clock_anchor_scale_threading_audit_2026-07-22	26	YES
udt_clock_angular_solder_regularity_audit_2026-07-24	36	YES
udt_clock_ruler_soldering_selector_audit_2026-07-20	22	YES
udt_cmb_polarization_observable_typing_audit_2026-07-27	48	YES
udt_coframe_hopf_bridge_audit_2026-07-23	38	YES
udt_common_scale_neutrality_provenance_audit_2026-07-24	35	YES
udt_complete_branch_founded_pair_pullback_audit_2026-07-26	38	YES
udt_complete_coframe_metric_telescope_p01_2026-07-27	57	YES
udt_complete_coframe_native_selector_audit_2026-07-26	24	YES
udt_complete_coframe_physical_comparison_functor_audit_2026-07-27	40	YES
udt_complete_connector_assembly_audit_2026-07-22	34	YES
udt_complete_lift_mu_closure_audit_2026-07-20	21	YES
udt_complete_metric_intrinsic_object_audit_2026-07-23	39	YES
udt_complete_metric_realization_zoomout_2026-07-23	40	YES
udt_complete_metric_solution_space_map_2026-07-21	27	YES
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	37	YES
udt_complete_physical_comparison_map_audit_2026-07-27	42	YES
udt_complete_relational_configuration_variation_domain_audit_2026-07-26	43	YES
udt_complete_screen_response_branch_atlas_2026-07-28	60	YES
udt_complete_seal_fixed_set_selector_audit_2026-07-21	23	YES
udt_completion_scoped_realized_observable_map_2026-07-26	44	YES
udt_configuration_space_adjacency_atlas_2026-07-22	42	YES
udt_constructive_metric_family_atlas_2026-07-21	35	YES
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26	28	YES
udt_csn_dphi_transport_selector_audit_2026-07-23	17	YES
udt_directional_observer_pair_distance_audit_2026-07-24	43	YES
udt_dual_systole_global_transport_audit_2026-07-24	35	YES
udt_dual_systole_wall_crossing_selector_audit_2026-07-24	38	YES
udt_dynamics_branch_ruling_p04_2026-07-21	23	YES
udt_exceptional_stratum_remainder_2026-07-28	9	YES
udt_f01_lambda_schur_check_2026-08-01	31	YES
udt_f01_second_wall_inverse_stability_2026-08-01	34	YES
udt_f02_global_completion_admissibility_2026-08-01	23	YES
udt_f02_global_completion_admissibility_review_2026-08-01	12	NO
udt_f02_stationary_simultaneous_realization_2026-08-01	24	YES
udt_finite_cell_cartan_transport_atlas_2026-07-23	27	YES
udt_finite_cell_completion_atlas_2026-07-21	37	YES
udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27	32	YES
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23	28	YES
udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24	33	YES
udt_finite_reciprocal_quotient_lift_audit_2026-07-27	30	YES
udt_foundational_semantic_regression_correction_2026-07-26	28	YES
udt_founded_constraint_atlas_p03_2026-07-21	32	YES
udt_founded_pair_first_jet_one_form_atlas_2026-07-26	39	YES
udt_founded_pair_global_alignment_audit_2026-07-26	34	YES
udt_founded_phi_complete_coframe_extension_audit_2026-07-25	26	YES
udt_founding_observer_comparison_semantics_audit_2026-07-27	39	YES
udt_founding_reciprocity_object_audit_2026-07-27	41	YES
udt_frame_bivector_equivariance_audit_2026-07-23	24	YES
udt_free_global_seal_transversality_audit_2026-07-21	30	YES
udt_full_equation_variation_p05_2026-07-21	34	YES
udt_full_local_jet_strata_p02_2026-07-27	48	YES
udt_full_screen_hopf_toric_rederivation_2026-07-28	39	YES
udt_general_screen_complete_cell_atlas_2026-07-28	52	YES
udt_general_screen_dependency_regrade_2026-07-28	35	YES
udt_global_coframe_cocycle_audit_2026-07-20	19	YES
udt_global_coframe_compatibility_p03_2026-07-27	25	YES
udt_global_functional_dof_constraint_rank_audit_2026-07-26	41	YES
udt_global_kinematic_assembly_p03g_2026-07-21	30	YES
udt_global_local_relational_closure_audit_2026-07-25	21	YES
udt_global_local_self_consistency_premise_audit_2026-08-01	42	YES
udt_global_metric_assembly_atlas_2026-07-22	56	YES
udt_global_reciprocal_bundle_assembly_audit_2026-07-26	43	YES
udt_global_reciprocal_closure_audit_2026-07-20	20	YES
udt_global_reciprocal_persistence_selector_audit_2026-07-23	34	YES
udt_gr_analog_reconnaissance_2026-07-29	6	YES
udt_gr_lorentzian_relational_architecture_audit_2026-07-27	27	YES
udt_gr_subtraction_reciprocal_connection_audit_2026-07-21	23	YES
udt_higher_isometry_plane_ownership_audit_2026-07-28	52	YES
udt_historical_angular_method_salvage_audit_2026-07-28	43	YES
udt_historical_phi_equation_salvage_audit_2026-07-24	25	YES
udt_hopf_realization_deformation_audit_2026-07-23	25	YES
udt_hopf_transport_bootstrap_dependency_audit_2026-07-23	22	YES
udt_independent_amplitude_metric_atlas_2026-07-21	34	YES
udt_instrument_motif_atlas_2026-07-21	71	YES
udt_intrinsic_clock_transverse_solder_audit_2026-07-24	37	YES
udt_intrinsic_optical_transport_atlas_2026-07-27	43	YES
udt_intrinsic_pair_deformation_neighborhood_audit_2026-07-27	38	YES
udt_intrinsic_pair_lambda_component_atlas_2026-07-27	45	YES
udt_intrinsic_reciprocal_holonomy_audit_2026-07-27	43	YES
udt_intrinsic_ruler_full_screen_descent_audit_2026-07-28	38	YES
udt_invariant_xmax_asymptotic_boundary_audit_2026-07-23	37	YES
udt_involutive_exchange_branch_availability_audit_2026-07-24	49	YES
udt_joint_invariant_subspace_atlas_2026-07-21	66	YES
udt_joint_realization_closure_audit_2026-08-01	32	YES
udt_joint_selector_provenance_audit_2026-07-28	45	YES
udt_jr_cert_native_derivation_2026-08-01	50	YES
udt_killing_plane_strata_transition_audit_2026-07-28	45	YES
udt_local_jet_atlas_p02_2026-07-21	35	YES
udt_local_selector_holonomy_closure_2026-07-22	30	YES
udt_macro_phi_angular_xmax_extension_atlas_2026-07-25	25	YES
udt_metric_native_nontriviality_connector_audit_2026-07-25	35	YES
udt_metric_native_observer_separation_asymptote_audit_2026-07-24	30	YES
udt_metric_native_selector_rank_closure_audit_2026-07-27	39	YES
udt_metric_native_signed_depth_availability_audit_2026-07-26	40	YES
udt_metric_native_two_pair_selector_audit_2026-07-21	23	YES
udt_metric_natural_complete_extension_selector_audit_2026-07-27	54	YES
udt_metric_natural_joint_selector_nogo_2026-07-28	38	YES
udt_metric_orchestra_rehearsal_2026-07-25	54	YES
udt_metric_pure_frame_rederivation_2026-07-23	25	YES
udt_metric_to_frontier_reference_2026-07-22	38	NO
udt_mirror_canon_provenance_audit_2026-07-30	5	NO
udt_mixed_readout_anchor_soldering_audit_2026-07-20	20	YES
udt_motif_hopf_correspondence_audit_2026-07-22	79	YES
udt_native_coframe_composition_law_audit_2026-07-23	38	YES
