transform_id	configuration_id	carrier_id	mask_id	mask_integer	bank	point_id	primary_status	split_status	q_eigenvalues	h_eigenvalues	split_forward_residual	shear_rank	twist_rank	shear_max_abs	twist_max_abs	metric_twojet_residual	cartan_covariance_residual	determinant_weight_residual	ricci_contraction_residual	scalar_contraction_residual	weyl_trace_max_abs	inverse_roundtrip_residual	metric_determinant	metric_inertia	retained	physical_merit
C03_CROSS_GENERAL	R00_1_M0_B0_P0	R00_1	M0	0	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	0	0	0.0	0.0	1.721357532173647e-16	0.0	4.486401733208005e-16	0.0	0.0	0.0	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M1_B0_P0	R00_1	M1	1	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.008983725849283596	0.01084990468467522	1.721357532173647e-16	8.673617379884035e-18	4.486401733208005e-16	9.324138683375338e-18	3.469446951953614e-18	5.421010862427522e-18	2.7755575615628914e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M2_B0_P0	R00_1	M2	2	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.020809936879132247	0.014351580882659205	1.721357532173647e-16	6.938893903907228e-18	4.486401733208005e-16	6.938893903907228e-18	1.3877787807814457e-17	8.673617379884035e-18	2.7755575615628914e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M3_B0_P0	R00_1	M3	3	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.021283186530832693	0.025201485567334425	1.721357532173647e-16	1.3877787807814457e-17	4.486401733208005e-16	1.3877787807814457e-17	0.0	9.587774667014292e-18	4.163336342344337e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M4_B0_P0	R00_1	M4	4	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.3877787807814457e-17	2	1	0.042778857795910986	0.038934237360823125	1.721357532173647e-16	8.673617379884035e-18	4.486401733208005e-16	1.734723475976807e-17	0.0	1.3910675552669614e-17	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M5_B0_P0	R00_1	M5	5	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.3877787807814457e-17	2	1	0.041684914918212634	0.04263838083016012	1.721357532173647e-16	2.7755575615628914e-17	4.486401733208005e-16	1.3877787807814457e-17	0.0	1.0408340855860843e-17	2.7755575615628914e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M6_B0_P0	R00_1	M6	6	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.04690668292908878	0.03904188331673791	1.721357532173647e-16	1.0408340855860843e-17	4.486401733208005e-16	1.0408340855860843e-17	0.0	5.404058751078481e-18	4.163336342344337e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M7_B0_P0	R00_1	M7	7	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.3877787807814457e-17	2	1	0.04581274005139042	0.042746026786074906	1.721357532173647e-16	2.0816681711721685e-17	4.486401733208005e-16	1.0408340855860843e-17	6.938893903907228e-18	1.3877787807814457e-17	4.163336342344337e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M8_B0_P0	R00_1	M8	8	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	0	0	0.0	0.0	1.721357532173647e-16	0.0	4.486401733208005e-16	0.0	0.0	0.0	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_M9_B0_P0	R00_1	M9	9	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.008983725849283596	0.01084990468467522	1.721357532173647e-16	8.673617379884035e-18	4.486401733208005e-16	9.324138683375338e-18	3.469446951953614e-18	5.421010862427522e-18	2.7755575615628914e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_MA_B0_P0	R00_1	MA	10	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.020809936879132247	0.014351580882659205	1.721357532173647e-16	6.938893903907228e-18	4.486401733208005e-16	6.938893903907228e-18	1.3877787807814457e-17	8.673617379884035e-18	2.7755575615628914e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_MB_B0_P0	R00_1	MB	11	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.0758484576085293e-17	2	1	0.021283186530832693	0.025201485567334425	1.721357532173647e-16	1.3877787807814457e-17	4.486401733208005e-16	1.3877787807814457e-17	0.0	9.587774667014292e-18	4.163336342344337e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
C03_CROSS_GENERAL	R00_1_MC_B0_P0	R00_1	MC	12	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.057458331805444;1.3614770190565504	-1.1464489953308024;0.89957008348849266	1.3877787807814457e-17	2	1	0.042778857795910986	0.038934237360823125	1.721357532173647e-16	8.673617379884035e-18	4.486401733208005e-16	1.734723475976807e-17	0.0	1.3910675552669614e-17	2.1833309079193157e-17	-1.4847841419202883	1,3,0	YES	NOT_EVALUATED
