transform_id	configuration_id	carrier_id	mask_id	mask_integer	bank	point_id	primary_status	split_status	q_eigenvalues	h_eigenvalues	split_forward_residual	shear_rank	twist_rank	shear_max_abs	twist_max_abs	metric_twojet_residual	cartan_covariance_residual	determinant_weight_residual	ricci_contraction_residual	scalar_contraction_residual	weyl_trace_max_abs	inverse_roundtrip_residual	metric_determinant	metric_inertia	retained	physical_merit
C04_CROSS_GENERAL_INVERSE	R00_1_M0_B0_P0	R00_1	M0	0	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	0	0	0.0	0.0	1.790459228270497e-16	0.0	7.709207655946345e-16	0.0	0.0	0.0	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M1_B0_P0	R00_1	M1	1	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.007950086533451214	0.011593046211069448	1.790459228270497e-16	1.214306433183765e-17	7.709207655946345e-16	9.540979117872439e-18	3.469446951953614e-18	9.329421299340119e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M2_B0_P0	R00_1	M2	2	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.02352368147881974	0.015358345682274682	1.790459228270497e-16	1.3877787807814457e-17	7.709207655946345e-16	1.734723475976807e-17	2.7755575615628914e-17	6.938893903907228e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M3_B0_P0	R00_1	M3	3	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.024140098405617417	0.02695139189334413	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	6.938893903907228e-18	0.0	9.540979117872439e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M4_B0_P0	R00_1	M4	4	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03215902048443731	0.05301253116653428	1.790459228270497e-16	1.3877787807814457e-17	7.709207655946345e-16	7.806255641895632e-18	0.0	6.938893903907228e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M5_B0_P0	R00_1	M5	5	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03195025684424351	0.06168720389505798	1.790459228270497e-16	2.42861286636753e-17	7.709207655946345e-16	1.0408340855860843e-17	2.7755575615628914e-17	1.214306433183765e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M6_B0_P0	R00_1	M6	6	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.041637146424735205	0.06545250336626322	1.790459228270497e-16	2.42861286636753e-17	7.709207655946345e-16	1.474514954580286e-17	1.0408340855860843e-17	1.3877787807814457e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M7_B0_P0	R00_1	M7	7	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.041655799556627536	0.07704554957733267	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.0408340855860843e-17	1.734723475976807e-18	7.157220894179181e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M8_B0_P0	R00_1	M8	8	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	0	0	0.0	0.0	1.790459228270497e-16	0.0	7.709207655946345e-16	0.0	0.0	0.0	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_M9_B0_P0	R00_1	M9	9	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.007950086533451214	0.011593046211069448	1.790459228270497e-16	1.214306433183765e-17	7.709207655946345e-16	9.540979117872439e-18	3.469446951953614e-18	9.329421299340119e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_MA_B0_P0	R00_1	MA	10	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.02352368147881974	0.015358345682274682	1.790459228270497e-16	1.3877787807814457e-17	7.709207655946345e-16	1.734723475976807e-17	2.7755575615628914e-17	6.938893903907228e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_MB_B0_P0	R00_1	MB	11	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.024140098405617417	0.02695139189334413	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	6.938893903907228e-18	0.0	9.540979117872439e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_MC_B0_P0	R00_1	MC	12	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03215902048443731	0.05301253116653428	1.790459228270497e-16	1.3877787807814457e-17	7.709207655946345e-16	7.806255641895632e-18	0.0	6.938893903907228e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_MD_B0_P0	R00_1	MD	13	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03195025684424351	0.06168720389505798	1.790459228270497e-16	2.42861286636753e-17	7.709207655946345e-16	1.0408340855860843e-17	2.7755575615628914e-17	1.214306433183765e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_ME_B0_P0	R00_1	ME	14	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.041637146424735205	0.06545250336626322	1.790459228270497e-16	2.42861286636753e-17	7.709207655946345e-16	1.474514954580286e-17	1.0408340855860843e-17	1.3877787807814457e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R00_1_MF_B0_P0	R00_1	MF	15	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.041655799556627536	0.07704554957733267	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.0408340855860843e-17	1.734723475976807e-18	7.157220894179181e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M0_B0_P0	R01_1	M0	0	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	0	0	0.0	0.0	1.790459228270497e-16	0.0	7.709207655946345e-16	0.0	0.0	0.0	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M1_B0_P0	R01_1	M1	1	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.005498630531887862	0.012008013760679831	1.790459228270497e-16	1.734723475976807e-17	7.709207655946345e-16	8.673617379884035e-18	6.938893903907228e-18	9.275131519963044e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M2_B0_P0	R01_1	M2	2	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03927837152861807	0.0071162709461051535	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.214306433183765e-17	0.0	2.0816681711721685e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M3_B0_P0	R01_1	M3	3	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.037285447936343606	0.006215057123201159	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.3877787807814457e-17	1.3877787807814457e-17	9.540979117872439e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M4_B0_P0	R01_1	M4	4	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.01693125167173494	0.052834435609090735	1.790459228270497e-16	2.0816681711721685e-17	7.709207655946345e-16	6.938893903907228e-18	1.734723475976807e-18	5.4275220490800396e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M5_B0_P0	R01_1	M5	5	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.022429882203622797	0.04740862236011886	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.734723475976807e-17	0.0	1.0408340855860843e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M6_B0_P0	R01_1	M6	6	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.0393667402789529	0.052045191734861454	1.790459228270497e-16	2.7755575615628914e-17	7.709207655946345e-16	1.734723475976807e-17	0.0	1.3877787807814457e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M7_B0_P0	R01_1	M7	7	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.03737381668667843	0.046619378485889575	1.790459228270497e-16	2.0816681711721685e-17	7.709207655946345e-16	2.7755575615628914e-17	6.938893903907228e-18	1.734723475976807e-17	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M8_B0_P0	R01_1	M8	8	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	0	0	0.0	0.0	1.790459228270497e-16	0.0	7.709207655946345e-16	0.0	0.0	0.0	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
C04_CROSS_GENERAL_INVERSE	R01_1_M9_B0_P0	R01_1	M9	9	B0	P0	SUPPLIED_SPLIT_RESEATED_DEFINED	DEFINED	1.0881397734556635;1.2699822550248996	-1.2377869120973082;0.84192278279120469	4.476148070676242e-17	2	1	0.005498630531887862	0.012008013760679831	1.790459228270497e-16	1.734723475976807e-17	7.709207655946345e-16	8.673617379884035e-18	6.938893903907228e-18	9.275131519963044e-18	1.7466647263354526e-16	-1.4401259820376076	1,3,0	YES	NOT_EVALUATED
