B	abs_m	matrix	ell_i	ell_j	parity_i	parity_j	same_parity	value_q256	value_q512	abs_quad_difference	above_1e_minus_12
0	0	W	0	0	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	3.25260651745651330e-19	TRUE
0	0	W	0	1	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	0	2	EVEN	EVEN	TRUE	-7.96210970419042319e-20	2.71050543121376109e-20	1.06726151354041843e-19	FALSE
0	0	W	0	3	EVEN	ODD	FALSE	0.00000000000000000e+00	-2.71050543121376109e-20	2.71050543121376109e-20	FALSE
0	0	W	0	4	EVEN	EVEN	TRUE	1.48230765769502559e-20	1.38913403349705256e-19	1.24090326772755000e-19	FALSE
0	0	W	0	5	EVEN	ODD	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	0	6	EVEN	EVEN	TRUE	-3.81164826264435153e-21	3.65918233213857746e-19	3.69729881476502098e-19	FALSE
0	0	W	0	7	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	0	8	EVEN	EVEN	TRUE	2.28698895758661092e-20	2.62580213648833105e-19	2.39710324072966996e-19	FALSE
0	0	W	0	9	EVEN	ODD	FALSE	6.77626357803440271e-21	0.00000000000000000e+00	6.77626357803440271e-21	FALSE
0	0	W	0	10	EVEN	EVEN	TRUE	8.04681299891585322e-21	2.20228566286118088e-19	2.12181753287202235e-19	FALSE
0	0	W	0	11	EVEN	ODD	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	W	0	12	EVEN	EVEN	TRUE	-1.69406589450860068e-20	2.98155597433513719e-19	3.15096256378599726e-19	FALSE
0	0	W	0	13	EVEN	ODD	FALSE	0.00000000000000000e+00	3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	W	0	14	EVEN	EVEN	TRUE	-1.99052742604760580e-20	5.62429876976855425e-19	5.82335151237331483e-19	FALSE
0	0	W	0	15	EVEN	ODD	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	0	16	EVEN	EVEN	TRUE	-2.15146368602592286e-19	3.97258452262266859e-19	6.12404820864859145e-19	FALSE
0	0	W	1	1	ODD	ODD	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	4.33680868994201774e-19	TRUE
0	0	W	1	2	ODD	EVEN	FALSE	1.35525271560688054e-20	0.00000000000000000e+00	1.35525271560688054e-20	FALSE
0	0	W	1	3	ODD	ODD	TRUE	-5.26748614073768023e-20	1.62630325872825665e-19	2.15305187280202467e-19	FALSE
0	0	W	1	4	ODD	EVEN	FALSE	3.38813178901720136e-21	1.35525271560688054e-20	1.01643953670516041e-20	FALSE
0	0	W	1	5	ODD	ODD	TRUE	2.07523072077303583e-20	4.30292737205184572e-19	4.09540429997454214e-19	FALSE
0	0	W	1	6	ODD	EVEN	FALSE	-3.38813178901720136e-21	0.00000000000000000e+00	3.38813178901720136e-21	FALSE
0	0	W	1	7	ODD	ODD	TRUE	-8.04681299891585322e-21	5.35324822664717814e-19	5.43371635663633668e-19	FALSE
0	0	W	1	8	ODD	EVEN	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	W	1	9	ODD	ODD	TRUE	2.06464280893235708e-20	4.20128341838132968e-19	3.99481913748809397e-19	FALSE
0	0	W	1	10	ODD	EVEN	FALSE	0.00000000000000000e+00	0.00000000000000000e+00	0.00000000000000000e+00	FALSE
0	0	W	1	11	ODD	ODD	TRUE	-8.17916189692433765e-21	4.43845264361253378e-19	4.52024426258177715e-19	FALSE
0	0	W	1	12	ODD	EVEN	FALSE	-8.47032947254300339e-22	0.00000000000000000e+00	8.47032947254300339e-22	FALSE
0	0	W	1	13	ODD	ODD	TRUE	-2.64697796016968856e-20	7.41153828847512797e-19	7.67623608449209682e-19	FALSE
0	0	W	1	14	ODD	EVEN	FALSE	0.00000000000000000e+00	-3.38813178901720136e-21	3.38813178901720136e-21	FALSE
0	0	W	1	15	ODD	ODD	TRUE	-2.03023209545015113e-19	8.30092288309214332e-19	1.03311549785422944e-18	FALSE
0	0	W	1	16	ODD	EVEN	FALSE	-4.23516473627150170e-22	-8.47032947254300339e-22	4.23516473627150170e-22	FALSE
0	0	W	2	2	EVEN	EVEN	TRUE	1.00000000000000000e+00	1.00000000000000000e+00	5.42101086242752217e-19	TRUE
0	0	W	2	3	EVEN	ODD	FALSE	-2.71050543121376109e-20	0.00000000000000000e+00	2.71050543121376109e-20	FALSE
0	0	W	2	4	EVEN	EVEN	TRUE	-4.31986803099693173e-20	4.06575814682064163e-19	4.49774494992033480e-19	FALSE
0	0	W	2	5	EVEN	ODD	FALSE	-2.71050543121376109e-20	0.00000000000000000e+00	2.71050543121376109e-20	FALSE
