chart	bank_pair	pair_type	amplitude_index	u_lo	u_hi	lambda_lo	lambda_hi	binary64_s_lo	binary64_derivative_hi	mpmath80_s_lo	mpmath80_s_hi	mpmath80_partial_lambda_s_lo	mpmath80_partial_lambda_s_hi	status
J1_GENERATOR_COEFFICIENT_JOIN	B0-B1	SAME_SIGN_CONTROL	379	15/16	1	13/64	7/32	2.6775760085010057e-07		2.6775760085023398e-07	3.592979317230307e-06	-1.0589083408036166e-05	5.2844751523658476e-06	HIGH_PRECISION_SIGN_AGREEMENT
J1_GENERATOR_COEFFICIENT_JOIN	B0-B2	SAME_SIGN_CONTROL	369	15/16	1	1/8	9/64	2.3061455288559651e-06		2.3061455288561159e-06	6.2669717874879246e-06	-1.0575410124660862e-05	8.1306737057351659e-06	HIGH_PRECISION_SIGN_AGREEMENT
J1_GENERATOR_COEFFICIENT_JOIN	B0-B3	CROSS_SECTOR	375	15/16	1	6480848718921051/9007199254740992	6551227775731697/9007199254740992		-3.9829633182594336e-05	5.7101333069160882e-06	8.8447833142611181e-06	-5.523298914138239e-05	-3.9829633182595203e-05	HIGH_PRECISION_SIGN_AGREEMENT
J1_GENERATOR_COEFFICIENT_JOIN	B1-B2	SAME_SIGN_CONTROL	383	15/16	1	25/64	13/32	1.6282457115456883e-06		1.6282457115457408e-06	3.7712132143219558e-06	-6.8673486414235097e-06	1.1814645827722016e-05	HIGH_PRECISION_SIGN_AGREEMENT
J1_GENERATOR_COEFFICIENT_JOIN	B1-B3	CROSS_SECTOR	383	0	1/16	474277398629189/1125899906842624	3866266326400675/9007199254740992		-1.8879328810689281e-05	-4.2447650345815775e-06	-2.8220048793836376e-06	-2.8147115078764741e-05	-1.8879328810689664e-05	HIGH_PRECISION_SIGN_AGREEMENT
J1_GENERATOR_COEFFICIENT_JOIN	B2-B3	CROSS_SECTOR	383	0	1/16	7012379079665543/9007199254740992	7084245110222037/9007199254740992		-2.2537692865168872e-05	-6.3361485066995931e-06	-1.9230445751221037e-06	-4.1191942945098508e-05	-2.2537692865169584e-05	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B0-B1	SAME_SIGN_CONTROL	383	15/16	1	17/64	9/32	9.45736326424908e-07		9.4573632642503971e-07	3.9090402782837755e-06	-6.6596576671401744e-06	5.3104913353243618e-06	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B0-B2	SAME_SIGN_CONTROL	379	0	1/16	15/64	1/4	2.1863944800819443e-06		2.1863944800820328e-06	4.7075938475974181e-06	-8.2850939654206473e-06	4.4136407341101415e-06	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B0-B3	CROSS_SECTOR	383	0	1/16	6458921847626913/9007199254740992	1632430212574213/2251799813685248		-3.7268363804118852e-05	4.5779436229142483e-06	7.4119707538309355e-06	-4.7091249412192634e-05	-3.7268363804119428e-05	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B1-B2	SAME_SIGN_CONTROL	373	5/8	11/16	7/16	29/64	9.8752496816955064e-09		9.8752496817414795e-09	1.9753891433987194e-06	-2.1852217711604667e-06	1.2404427433941408e-05	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B1-B3	CROSS_SECTOR	371	0	1/16	3622997581124657/9007199254740992	28869757478713/70368744177664		-2.890103604649591e-05	-5.7163422716579256e-06	-3.8515292881359291e-06	-3.8123319823837465e-05	-2.8901036046496307e-05	HIGH_PRECISION_SIGN_AGREEMENT
J2_EVALUATED_COFIELD_JOIN	B2-B3	CROSS_SECTOR	383	0	1/16	184835498380249/281474976710656	5986371582682925/9007199254740992		-2.1421710467456612e-05	-6.4085788852687664e-06	-1.5935936551618918e-06	-3.6526461213063654e-05	-2.1421710467457218e-05	HIGH_PRECISION_SIGN_AGREEMENT
