family_id	motif	primitive_block_ranks	primitive_block_signatures	numeric_status	configurations
M01_R	FOUR_LINES	1;1;1;1	N0_P1_Z0;N0_P1_Z0;N0_P1_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	1078
M01_R	NUMERIC_UNCERTAIN	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_UNCERTAIN	2
M01_R	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M01_R	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	4296
M02_H	FOUR_LINES	1;1;1;1	N0_P1_Z0;N0_P1_Z0;N0_P1_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	69
M02_H	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
M02_H	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	3003
M03_R_H	FOUR_LINES	1;1;1;1	N0_P1_Z0;N0_P1_Z0;N0_P1_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	539
M03_R_H	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2688
M03_R_H	NUMERIC_UNCERTAIN	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_UNCERTAIN	1
M03_R_H	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M03_R_H	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	2532
M04_D	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	2304
M04_D	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	768
M04_D	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
M05_R_D	FOUR_LINES	1;1;1;1	N0_P1_Z0;N0_P1_Z0;N0_P1_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	539
M05_R_D	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	2681
M05_R_D	LINE_PLUS_THREE	1;3	N0_P1_Z0;N1_P2_Z0	NUMERIC_CLASSIFIED	288
M05_R_D	LINE_PLUS_THREE	1;3	N0_P3_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	96
M05_R_D	NUMERIC_UNCERTAIN	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_UNCERTAIN	1
M05_R_D	NUMERIC_UNCERTAIN	4	N1_P3_Z0	NUMERIC_UNCERTAIN	7
M05_R_D	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M05_R_D	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	2148
M06_H_D	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3067
M06_H_D	NUMERIC_UNCERTAIN	4	N1_P3_Z0	NUMERIC_UNCERTAIN	5
M06_H_D	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
M07_R_H_D	FOUR_LINES	1;1;1;1	N0_P1_Z0;N0_P1_Z0;N0_P1_Z0;N1_P0_Z0	NUMERIC_CLASSIFIED	539
M07_R_H_D	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	3072
M07_R_H_D	NUMERIC_UNCERTAIN	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_UNCERTAIN	1
M07_R_H_D	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M07_R_H_D	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	2148
M08_RG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M08_RG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M09_R_RG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M09_R_RG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	768
M10_H_RG	FULL_IRREDUCIBLE_4	4	N1_P3_Z0	NUMERIC_CLASSIFIED	5376
M10_H_RG	SCALAR_4_AMBIGUITY	4	N1_P3_Z0	NUMERIC_CLASSIFIED	384
M10_H_RG	TWO_PLUS_TWO_LINES	1;1;2	N0_P1_Z0;N0_P1_Z0;N1_P1_Z0	NUMERIC_CLASSIFIED	384
