lambda	event_id	absolute_error	scaled_error	independent_curvature_span_rank	minimum_singular_value
-2	P00	1.8271983925899349e-10	1.2226969971827719e-10	6	0.045970902172877671
-2	P01	2.0809809431199255e-10	1.1335229464031156e-10	6	0.060337373073754128
-2	P02	1.4477863352624354e-10	9.3433736758148609e-11	6	0.01347516288103889
-1	P00	1.0943623784953616e-10	8.3539112862241317e-11	6	0.050899056808559134
-1	P01	1.1830603163787146e-10	9.3775736814448693e-11	6	0.0765818868713532
-1	P02	8.7394314007838148e-11	6.5580138387508872e-11	6	0.074104099860595213
0	P00	7.2392897232376185e-11	6.4728985365143224e-11	6	0.055839711534491417
0	P01	7.230283038950347e-11	6.880595180673731e-11	6	0.094707927805194006
0	P02	5.7431670530405654e-11	5.1882916289113676e-11	6	0.05736235632826308
0.5	P00	7.2392897232376185e-11	7.0980387520713964e-11	6	0.058317228169856683
0.5	P01	8.2588713645748157e-11	8.2588713645748157e-11	6	0.094911806427298545
0.5	P02	5.8126892188425927e-11	5.8126892188425927e-11	6	0.04904259464931706
1	P00	9.8820174265767946e-11	9.5282118446469909e-11	6	0.060802371254063924
1	P01	1.0928569160739698e-10	1.0928569160739698e-10	6	0.094696694710652202
1	P02	6.2013949531092294e-11	6.1259263245599202e-11	6	0.040764255160147374
2	P00	1.7361467818943765e-10	1.6281477954516277e-10	6	0.065816797960299225
2	P01	2.0532409106266414e-10	2.0532409106266414e-10	6	0.028291234429375131
2	P02	1.2989131992213743e-10	1.1573876163529509e-10	6	0.02429951744305299
