configuration_id	probe	object	status	detail
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R00_1_M1_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R00_1_M9_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R07_1_M1_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R07_1_M9_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R08_1_M1_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R08_1_M9_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R15_1_M1_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
R15_1_M9_B1_P1	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V007_M1_B2_P2	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V007_M1_B2_P2	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V007_M9_B2_P2	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V007_M9_B2_P2	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V013_M1_B2_P2	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V013_M1_B2_P2	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V013_M9_B2_P2	N02_CROSS_NONLINEAR	F06_RIEMANN_GENERATORS	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
V013_M9_B2_P2	N02_CROSS_NONLINEAR	F08_FULL_RIEMANN_JOINT	NUMERIC_UNCERTAIN_RETAINED	NO_NONTRIVIAL_CENTRAL_BLOCK
