candidate_id	profile_id	a	loop_id	parameter_name	parameter_value	H_independent	H_reverse_independent	primary_difference	orientation_reversal_error	agreement_threshold	status
C09	C09	1	R01	rho	0.01	-0.00000002012664199210949761276261467753018243718727914996966312192918552863644474958452229112550536424764285864087173552467751986894	0.00000002012664199210949761276261467753018243718727914996966312192918552863644474958452229112550536424764285864087173552467751986894	3.3544403320182515214700071735524677519870184653776876931728624896477242072251175935834737862949768278329790177574764523730118e-89	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R01	rho	0.05	-0.0000017884943916424269796378229962832622835655239577601272627442389896515785352934955811833923011374131115518883642083674654942224	0.0000017884943916424269796378229962832622835655239577601272627442389896515785352934955811833923011374131115518883642083674654942224	2.9808239860707116642850183642083674654942892920066460400461232450912492331890642297468292617170618002692999539162081072284942e-87	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R01	rho	0.1	-0.0000052719659474179196479628166571371951138020569857895074034705686095110894491862524385902571262444530225367714337922100439568978	0.0000052719659474179196479628166571371951138020569857895074034705686095110894491862524385902571262444530225367714337922100439568978	8.7866099123631994033642414337922100439566038551559206579571533727388610741756520345003534695979053990240282448978052947798174e-87	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R02	rho	0.01	-0.0024544558997968336062159886507098845317645536608057330221621905228406772153799776828444775698319769353571381416996150426992331	0.0024544558997968336062159886507098845317645536608057330221621905228406772153799776828444775698319769353571381416996150426992331	4.0907598329947226770492081416996150426990838842657100045598344568258971506209810580290056165527792757331106131527612721766553e-84	0.0	2.4544558997968336062159886507098845317645536608057330221621905228406772153799776787537177368372542583079300000000000000001197e-68	PASS_INDEPENDENT
C09	C09	1	R02	rho	0.05	-0.011359372300527600269383009489485758169115855757869069251387860309680211964608475085006645441316604238277018344242075165799869	0.011359372300527600269383009489485758169115855757869069251387860309680211964608475085006645441316604238277018344242075165799869	1.893228716754600044890971834424207516579948804265084549362813133385464490210388851792104445390097633791519741415882897383227e-83	0.0	1.1359372300527600269383009489485758169115855757869069251387860309680211964608475066074358273770603789367299999999999999999435e-67	PASS_INDEPENDENT
C09	C09	1	R02	rho	0.1	-0.018399186578687726416878474683030269786847156706864447915646869824202608462053726102196079659294519607688786893455636774424004	0.018399186578687726416878474683030269786847156706864447915646869824202608462053726102196079659294519607688786893455636774424004	3.0665310964479544028012586893455636774423571082076599661824322424022023739389299592263907297517154344144541945144348553146248e-83	0.0	1.839918657868772641687847468303026978684715670686444791564686982420260846205372607153076869481497557967620000000000000000127e-67	PASS_INDEPENDENT
C09	C09	1	R03	rho	0.01	-0.000000000000080016083388918376263709168710719252230168592155159282167298363347461851062497059660547853062642988889508002076706559658414067	0.000000000000080016083388918376263709168710719252230168592155159282167298363347461851062497059660547853062642988889508002076706559585154349	1.3213014237546127132884318979232934403415834543880515339980876064586124165520641409750893064653943281399366683777522071675848e-93	7.3259718036629983611978820747350362971210924292440586216021501222679817183627044932239905822791027836217469379477854931627838e-131	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R03	rho	0.05	-0.00000000023734162333057561835467610777898636622586212882790992678578136308223456085310080280173010206110847033618471858766251850921969	0.00000000023734162333057561835467610777898636622586212882790992678578136308223456085310080280173010206110847033618471858766251850912952	4.1576079766823479570704972814123374814908007374341057470837977950949148876497798295559985444644229002152662103542840746334887e-90	9.0165806814313825983973933227508139041490368359926875342795693812529005764464055301218345628050495798421500774741975300465031e-131	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R03	rho	0.1	-0.0000000063453939873798140544000676917947936168717306638145257496825344617906573149212760940542949430022846231884273811676435623690646	0.0000000063453939873798140544000676917947936168717306638145257496825344617906573149212760940542949430022846231884273811676435623690646	1.3581862700592850732175592261883235643763091621642149761628645740493131692344429801864246832668320043878442418773276147268253e-88	0.0	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R04	rho	0.01	0.000000000000080017842412452354672251096226912593923692604157601071583819984963484302115753470645826445561769214184312868458551335171219809	-0.00000000000008001784241245235467225109622691259392369260415760107158381998496348430211575347064582644556176921418431286845855133523039112	1.3212984965421363803248530315414486648287799043125634562374431157196520194970413516673560262222915950831764743749457688802933e-93	5.9171310721893448301982893680552216245978054236202011943709674064472160032929536291424539318408137867714109883424421290930177e-131	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
C09	C09	1	R04	rho	0.05	0.0000000002374758052256703458340933436797202035406207383036244469829154282560004379656562787921983898986530776779893151616232120781614	-0.0000000002374758052256703458340933436797202035406207383036244469829154282560004379656562787921983898986530776779893151616232120776204	4.157393041210113281997421684838376787921819239644154229771956431657854608286203281764540607266799882892582264637643649054948e-90	5.4099484088588295590384359936504883424894221015956125205677416287517403458678433180731007376830297479052900464845185180279019e-130	1.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000069e-70	PASS_INDEPENDENT
