id	expansion_rank	shear_map_rank	twist_map_rank	integrability	exact_expansion	exact_shear_map	exact_twist	CSN_expansion_status	CSN_shear_rank_status	CSN_twist_status
K01	0	0	0	INTEGRABLE	Matrix([[0, 0]])	Matrix([[0, 0, 0],[0, 0, 0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K02	0	0	1	NONINTEGRABLE	Matrix([[0, 0]])	Matrix([[0, 0, 0],[0, 0, 0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K03	0	1	0	INTEGRABLE	Matrix([[0, 0]])	Matrix([[1, 0, -1],[0, 0,  0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K04	0	1	1	NONINTEGRABLE	Matrix([[0, 0]])	Matrix([[1, 0, -1],[0, 0,  0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K05	0	2	0	INTEGRABLE	Matrix([[0, 0]])	Matrix([[1, 0, -1],[0, 1,  0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K06	0	2	1	NONINTEGRABLE	Matrix([[0, 0]])	Matrix([[1, 0, -1],[0, 1,  0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K07	1	0	0	INTEGRABLE	Matrix([[1, 0]])	Matrix([[0, 0, 0],[0, 0, 0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K08	1	0	1	NONINTEGRABLE	Matrix([[1, 0]])	Matrix([[0, 0, 0],[0, 0, 0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K09	1	1	0	INTEGRABLE	Matrix([[1, 0]])	Matrix([[1, 0, -1],[0, 0,  0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K10	1	1	1	NONINTEGRABLE	Matrix([[1, 0]])	Matrix([[1, 0, -1],[0, 0,  0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K11	1	2	0	INTEGRABLE	Matrix([[1, 0]])	Matrix([[1, 0, -1],[0, 1,  0]])	Matrix([[0, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
K12	1	2	1	NONINTEGRABLE	Matrix([[1, 0]])	Matrix([[1, 0, -1],[0, 1,  0]])	Matrix([[1, 0]])	REPRESENTATIVE_DEPENDENT_AFFINE_SHIFT	INVARIANT	INVARIANT
