sample_id	causal_class	affine_end	solver_steps	initial_norm	final_norm	norm_drift	transport_metric_defect	dexp_min_singular	dexp_max_singular	endpoint_x	classification
R17_M1_N	TIMELIKE	0.4	41	-1.0000000000000002	-0.99999999999999911	1.1102230246251565e-15	2.909586824011038e-16	0.33895308868031243	0.42791018900760341	0.52874901997811741;1.239411099376283;0.35595791564670931;0.418398657707516	REGULAR_PROPAGATOR
R17_M1_N	SPACELIKE	0.4	41	0.99999999999999967	0.99999999999999956	1.1102230246251565e-16	2.9286783531022691e-16	0.33447094242363923	0.50114635206183045	-0.069677085768403174;0.93222350397147558;0.43715215285164621;1.0731513022905739	REGULAR_PROPAGATOR
R17_M1_Z	TIMELIKE	0.4	41	-1.0000000000000004	-0.99999999999999978	6.6613381477509392e-16	7.1564223552847924e-16	0.33849944430999634	0.42798508133937996	0.52945042874991199;1.239105309580361;0.35440384936418795;0.42042181590801525	REGULAR_PROPAGATOR
R17_M1_Z	SPACELIKE	0.4	41	1	0.99999999999999978	2.2204460492503131e-16	2.2479821321916574e-16	0.33411846094796283	0.50430227586180509	-0.06914436452533701;0.93120414250898342;0.43451520108669461;1.0719272174056569	REGULAR_PROPAGATOR
R17_M1_P	TIMELIKE	0.4	41	-0.99999999999999989	-1.0000000000000007	7.7715611723760958e-16	3.8934418622730469e-16	0.33780556278130724	0.42806991507408354	0.53016553240341879;1.2388007178551603;0.35283466839986549;0.4224376452385355	REGULAR_PROPAGATOR
R17_M1_P	SPACELIKE	0.4	41	0.99999999999999956	0.99999999999999989	3.3306690738754696e-16	6.1533343181145958e-16	0.3337556015487454	0.50754180899870494	-0.068613533178975852;0.9302026490834725;0.43181120420186553;1.0707532292824278	REGULAR_PROPAGATOR
R17_0_N	TIMELIKE	0.4	41	-1.0000000000000002	-1.0000000000000004	2.2204460492503131e-16	4.7039201160600757e-16	0.34938176566787976	0.41978809050238708	0.52877336170698985;1.2202511012578434;0.35688359018742899;0.41783146681380912	REGULAR_PROPAGATOR
R17_0_N	SPACELIKE	0.4	41	1	1.0000000000000002	2.2204460492503131e-16	3.8644591382089699e-16	0.35465842175168744	0.47502266659532077	-0.069609137996811149;0.95616999956546733;0.44262801589266604;1.0702223843793244	REGULAR_PROPAGATOR
R17_0_Z	TIMELIKE	0.4	41	-1.0000000000000004	-0.99999999999999867	1.7763568394002505e-15	3.5969339306779468e-16	0.34933047468577572	0.41966526509164542	0.52947906355907881;1.2197350654979291;0.35561125524333548;0.41980720426850482	REGULAR_PROPAGATOR
R17_0_Z	SPACELIKE	0.4	41	1	0.99999999999999978	2.2204460492503131e-16	6.6678448045992133e-16	0.35420253201844809	0.47569140334793447	-0.069086258427554462;0.95615104322885491;0.4406144864895768;1.0686866836741389	REGULAR_PROPAGATOR
R17_0_P	TIMELIKE	0.4	41	-1	-1.0000000000000004	4.4408920985006262e-16	1.5507278152270469e-16	0.34903229307655925	0.41957745205107955	0.53019864892862789;1.2192226575801692;0.35433769565058859;0.42176942976245313	REGULAR_PROPAGATOR
R17_0_P	SPACELIKE	0.4	41	0.99999999999999967	0.99999999999999922	4.4408920985006262e-16	7.1062047363321369e-16	0.35374912870674996	0.47637367058895858	-0.068565194498820883;0.9561369233330016;0.43860040091360386;1.0671606292068532	REGULAR_PROPAGATOR
R17_P1_N	TIMELIKE	0.4	41	-1.0000000000000002	-1.0000000000000018	1.5543122344752192e-15	3.5142303642328764e-16	0.35748705881753362	0.4148649199149998	0.52879213417533388;1.2034129581619795;0.3559030844423921;0.4179777875098673	REGULAR_PROPAGATOR
R17_P1_N	SPACELIKE	0.4	41	0.99999999999999978	0.99999999999999956	2.2204460492503131e-16	7.3369316484631966e-16	0.37096674782417399	0.45780974968367788	-0.069548785858103077;0.97656625618765025;0.44095485792198663;1.0712832609210852	REGULAR_PROPAGATOR
R17_P1_Z	TIMELIKE	0.4	41	-1.0000000000000004	-1	4.4408920985006262e-16	7.6010568135226322e-16	0.35769497002259726	0.41474098084378697	0.52950234200231927;1.2027257899330182;0.35480907530486122;0.41993948926005337	REGULAR_PROPAGATOR
R17_P1_Z	SPACELIKE	0.4	41	0.99999999999999978	1	2.2204460492503131e-16	3.6539517346604351e-16	0.37020140628119763	0.45662840405096689	-0.06903434365336307;0.97731242239049954;0.43894150429622325;1.0697869447478614	REGULAR_PROPAGATOR
R17_P1_P	TIMELIKE	0.4	41	-0.99999999999999989	-1.0000000000000009	9.9920072216264089e-16	2.1029582598268871e-16	0.35765267888007057	0.41471900269148793	0.53022677037585131;1.2020440657315252;0.35372254032541517;0.42188322281477042	REGULAR_PROPAGATOR
R17_P1_P	SPACELIKE	0.4	41	0.99999999999999967	0.99999999999999989	2.2204460492503131e-16	5.709078654104772e-16	0.36943006529952072	0.45547340897173311	-0.068521200850494915;0.97805076597939533;0.43695886793095778;1.0682795765055997	REGULAR_PROPAGATOR
TL_N2	TIMELIKE	0.4	41	-0.99999999999999978	-0.99999999999999944	3.3306690738754696e-16	1.1340306523162497e-15	0.38203787490763391	0.41393437449302495	0.55532401171211287;-0.17105394275958827;0.28203478859503728;-0.12566254454243392	REGULAR_PROPAGATOR
TL_N2	SPACELIKE	0.4	41	0.99999999999999956	0.99999999999999956	0	1.6915920899888658e-15	0.38613815716921085	0.41800288174555406	0.099516931264157921;0.1645463264756338;0.22924815721336642;-0.051157036303429416	REGULAR_PROPAGATOR
TL_N1	TIMELIKE	0.4	41	-1.0000000000000002	-1.0000000000000011	8.8817841970012523e-16	1.1834036391732223e-15	0.38194080366588351	0.41345587911038589	0.5573317448291728;-0.17107284814819304;0.2819080135265149;-0.1254705805305214	REGULAR_PROPAGATOR
TL_N1	SPACELIKE	0.4	41	1	1	0	2.0878656143143625e-15	0.38589785739253774	0.4177831846968853	0.099189283206097156;0.16230731065888823;0.22912850177973348;-0.051711670886046016	REGULAR_PROPAGATOR
TL_Z	TIMELIKE	0.4	41	-1.0000000000000002	-1	2.2204460492503131e-16	1.4051146046016448e-15	0.38182295853016485	0.41302910352399003	0.55934524715499756;-0.17109245548140098;0.28178161806283358;-0.12527600117141049	REGULAR_PROPAGATOR
TL_Z	SPACELIKE	0.4	41	1	0.99999999999999956	4.4408920985006262e-16	7.36949531448347e-16	0.38566042087704044	0.41757415518161889	0.098864571814226476;0.16008417966406144;0.22901300332502472;-0.05226206858101029	REGULAR_PROPAGATOR
