ensemble_order	target_masks	payload	interaction_rows	active_rows	inactive_rows	numeric_uncertain_rows	physical_interpretation
1	4	slot_twojet	1536	1152	384	0	NONE
1	4	metric_twojet	1536	1152	384	0	NONE
1	4	riemann	1536	1152	384	0	NONE
1	4	weyl	1536	1152	384	0	NONE
1	4	ricci	1536	1152	384	0	NONE
1	4	scalar	1536	1152	384	0	NONE
1	4	shear	1536	768	768	0	NONE
1	4	twist	1536	384	1152	0	NONE
1	4	phi_twojet	1536	384	1152	0	NONE
2	6	slot_twojet	2304	0	2304	0	NONE
2	6	metric_twojet	2304	384	1920	0	NONE
2	6	riemann	2304	1152	1152	0	NONE
2	6	weyl	2304	1152	1152	0	NONE
2	6	ricci	2304	1152	1152	0	NONE
2	6	scalar	2304	1152	1152	0	NONE
2	6	shear	2304	336	1968	0	NONE
2	6	twist	2304	0	2304	0	NONE
2	6	phi_twojet	2304	0	2304	0	NONE
3	4	slot_twojet	1536	0	1536	0	NONE
3	4	metric_twojet	1536	0	1536	0	NONE
3	4	riemann	1536	336	1200	0	NONE
3	4	weyl	1536	336	1200	0	NONE
3	4	ricci	1536	336	1200	0	NONE
3	4	scalar	1536	336	1200	0	NONE
3	4	shear	1536	0	1536	0	NONE
3	4	twist	1536	0	1536	0	NONE
3	4	phi_twojet	1536	0	1536	0	NONE
4	1	slot_twojet	384	0	384	0	NONE
4	1	metric_twojet	384	0	384	0	NONE
4	1	riemann	384	0	384	0	NONE
4	1	weyl	384	0	384	0	NONE
4	1	ricci	384	0	384	0	NONE
4	1	scalar	384	0	384	0	NONE
4	1	shear	384	0	384	0	NONE
4	1	twist	384	0	384	0	NONE
4	1	phi_twojet	384	0	384	0	NONE
